%time,field.header.stamp,field.header.frame_id,field.latitude,,,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1.61E+18,0,,42.2022344N,42.202234,71.053885,71.0538856W,8.8 m,330438.1227,4674272.484,19,T
1.61E+18,0,,42.2022117N,42.202211,71.053868,71.0538682W,8.8 m,330439.4985,4674269.928,19,T
1.61E+18,0,,42.2021971N,42.202197,71.053839,71.0538393W,8.7 m,330441.8455,4674268.25,19,T
1.61E+18,0,,42.2021927N,42.202192,71.053804,71.0538046W,8.5 m,330444.6985,4674267.692,19,T
1.61E+18,0,,42.2021994N,42.202199,71.05377W,71.05377W,8.4 m,330447.573,4674268.367,19,T
1.61E+18,0,,42.2022168N,42.202216,71.053742,71.0537424W,8.5 m,330449.8983,4674270.244,19,T
1.61E+18,0,,42.2022416N,42.202241,71.053727,71.0537272W,8.6 m,330451.2195,4674272.968,19,T
1.61E+18,0,,42.2022692N,42.202269,71.053729,71.0537294W,8.6 m,330451.1117,4674276.037,19,T
1.61E+18,0,,42.2022935N,42.202293,71.053749,71.053749W,8.5 m,330449.5585,4674278.774,19,T
1.61E+18,0,,42.2023082N,42.202308,71.053782,71.0537829W,8.4 m,330446.799,4674280.474,19,T
1.61E+18,0,,42.2023091N,42.202309,71.053823,71.0538233W,8.4 m,330443.466,4674280.654,19,T
1.61E+18,0,,42.2022947N,42.202294,71.053858,71.0538584W,8.5 m,330440.5297,4674279.125,19,T
1.61E+18,0,,42.2022701N,42.20227,71.05388,71.0538801W,8.5 m,330438.6723,4674276.437,19,T
1.61E+18,0,,42.2022415N,42.202241,71.053882,71.0538825W,8.5 m,330438.3976,4674273.266,19,T
1.61E+18,0,,42.2022161N,42.202216,71.053866,71.0538661W,8.5 m,330439.6837,4674270.413,19,T
1.61E+18,0,,42.2021994N,42.202199,71.053835,71.0538356W,8.6 m,330442.1571,4674268.498,19,T
1.61E+18,0,,42.2021948N,42.202194,71.053798,71.0537987W,8.6 m,330445.1913,4674267.914,19,T
1.61E+18,0,,42.202203N,42.202203,71.053763,71.0537637W,8.6 m,330448.1028,4674268.754,19,T
1.61E+18,0,,42.2022212N,42.202221,71.053738,71.053738W,8.8 m,330450.2733,4674270.724,19,T
1.61E+18,0,,42.2022439N,42.202243,71.053724,71.0537241W,9.0 m,330451.4816,4674273.217,19,T
1.61E+18,0,,42.2022641N,42.202264,71.053718,71.0537183W,9.1 m,330452.0145,4674275.449,19,T
1.61E+18,0,,42.2022777N,42.202277,71.053715,71.0537151W,9.1 m,330452.315,4674276.952,19,T
1.61E+18,0,,42.2022864N,42.202286,71.053712,71.0537123W,9.1 m,330452.5695,4674277.913,19,T
1.61E+18,0,,42.2022929N,42.202292,71.053709,71.0537097W,9.1 m,330452.8015,4674278.63,19,T
1.61E+18,0,,42.2022986N,42.202298,71.053706,71.0537063W,9.2 m,330453.0975,4674279.256,19,T
1.61E+18,0,,42.2023043N,42.202304,71.053699,71.0536997W,9.3 m,330453.6576,4674279.875,19,T
1.61E+18,0,,42.202309N,42.202309,71.053689,71.0536896W,9.4 m,330454.504,4674280.377,19,T
1.61E+18,0,,42.2023151N,42.202315,71.053671,71.0536711W,9.6 m,330456.0477,4674281.018,19,T
1.61E+18,0,,42.2023214N,42.202321,71.053649,71.0536493W,9.5 m,330457.8644,4674281.674,19,T
1.61E+18,0,,42.2023278N,42.202327,71.053626,71.0536266W,9.5 m,330459.7556,4674282.34,19,T
1.61E+18,0,,42.2023347N,42.202334,71.053602,71.0536022W,9.5 m,330461.7885,4674283.057,19,T
1.61E+18,0,,42.2023428N,42.202342,71.053572,71.0535728W,9.5 m,330464.2375,4674283.898,19,T
1.61E+18,0,,42.2023521N,42.202352,71.053541,71.0535415W,9.6 m,330466.8465,4674284.869,19,T
1.61E+18,0,,42.2023636N,42.202363,71.053509,71.0535098W,9.6 m,330469.4944,4674286.083,19,T
1.61E+18,0,,42.2023778N,42.202377,71.053476,71.0534769W,9.7 m,330472.2486,4674287.594,19,T
1.61E+18,0,,42.2023963N,42.202396,71.053443,71.053443W,9.9 m,330475.0968,4674289.581,19,T
1.61E+18,0,,42.2024169N,42.202416,71.053409,71.0534091W,10.0 m,330477.9507,4674291.801,19,T
1.61E+18,0,,42.2024386N,42.202438,71.053376,71.053376W,9.9 m,330480.7415,4674294.144,19,T
1.61E+18,0,,42.2024609N,42.20246,71.053344,71.0533447W,10.1 m,330483.3852,4674296.558,19,T
1.61E+18,0,,42.2024828N,42.202482,71.053315,71.0533157W,10.2 m,330485.838,4674298.933,19,T
1.61E+18,0,,42.2025057N,42.202505,71.05329,71.0532902W,10.2 m,330488.0045,4674301.425,19,T
1.61E+18,0,,42.2025278N,42.202527,71.053264,71.0532644W,10.1 m,330490.1937,4674303.827,19,T
1.61E+18,0,,42.2025483N,42.202548,71.053238,71.0532382W,10.2 m,330492.4116,4674306.052,19,T
1.61E+18,0,,42.2025643N,42.202564,71.053214,71.0532148W,10.2 m,330494.3863,4674307.782,19,T
1.61E+18,0,,42.2025782N,42.202578,71.053198,71.0531981W,10.2 m,330495.8022,4674309.292,19,T
1.61E+18,0,,42.2025901N,42.20259,71.053183,71.0531839W,10.1 m,330497.0063,4674310.585,19,T
1.61E+18,0,,42.2026N,42.2026N,71.053167,71.0531678W,9.9 m,330498.362,4674311.652,19,T
1.61E+18,0,,42.2026043N,42.202604,71.053147,71.053147W,10.4 m,330500.0908,4674312.088,19,T
1.61E+18,0,,42.2026123N,42.202612,71.053126,71.0531263W,10.3 m,330501.8211,4674312.936,19,T
1.61E+18,0,,42.2026197N,42.202619,71.053103,71.0531032W,10.4 m,330503.7481,4674313.711,19,T
1.61E+18,0,,42.2026255N,42.202625,71.053079,71.0530798W,10.9 m,330505.6955,4674314.309,19,T
1.61E+18,0,,42.2026326N,42.202632,71.053059,71.0530593W,11.0 m,330507.4069,4674315.056,19,T
1.61E+18,0,,42.2026403N,42.20264,71.053042,71.0530424W,11.0 m,330508.8228,4674315.878,19,T
1.61E+18,0,,42.2026406N,42.20264,71.053023,71.0530231W,11.4 m,330510.417,4674315.873,19,T
1.61E+18,0,,42.2026371N,42.202637,71.053001,71.0530019W,12.9 m,330512.1579,4674315.442,19,T
1.61E+18,0,,42.2026363N,42.202636,71.052982,71.0529828W,13.9 m,330513.7326,4674315.315,19,T
1.61E+18,0,,42.2026395N,42.202639,71.052962,71.0529624W,14.2 m,330515.4254,4674315.63,19,T
1.61E+18,0,,42.2026619N,42.202661,71.052958,71.0529588W,11.1 m,330515.7825,4674318.11,19,T
1.61E+18,0,,42.2026749N,42.202674,71.052938,71.0529382W,10.1 m,330517.518,4674319.513,19,T
1.61E+18,0,,42.2026873N,42.202687,71.052906,71.0529064W,9.2 m,330520.1765,4674320.826,19,T
1.61E+18,0,,42.2027024N,42.202702,71.052876,71.0528764W,8.8 m,330522.6937,4674322.443,19,T
1.61E+18,0,,42.202718N,42.202718,71.052847,71.052847W,8.5 m,330525.1627,4674324.117,19,T
1.61E+18,0,,42.2027348N,42.202734,71.052817,71.0528178W,8.9 m,330527.6183,4674325.925,19,T
1.61E+18,0,,42.2027536N,42.202753,71.05279,71.0527908W,8.7 m,330529.8977,4674327.959,19,T
1.61E+18,0,,42.2027714N,42.202771,71.052765,71.0527652W,8.4 m,330532.0588,4674329.884,19,T
1.61E+18,0,,42.2027866N,42.202786,71.052742,71.0527427W,8.4 m,330533.957,4674331.527,19,T
1.61E+18,0,,42.2027981N,42.202798,71.052726,71.0527262W,8.4 m,330535.35,4674332.771,19,T
1.61E+18,0,,42.2028084N,42.202808,71.052713,71.0527136W,8.3 m,330536.4178,4674333.89,19,T
1.61E+18,0,,42.202818N,42.202818,71.052701,71.0527019W,8.9 m,330537.4094,4674334.933,19,T
1.61E+18,0,,42.2028262N,42.202826,71.052691,71.0526919W,8.6 m,330538.2569,4674335.823,19,T
1.61E+18,0,,42.2028364N,42.202836,71.052679,71.052679W,8.4 m,330539.3492,4674336.93,19,T
1.61E+18,0,,42.2028503N,42.20285,71.052661,71.0526618W,8.2 m,330540.8064,4674338.44,19,T
1.61E+18,0,,42.2028668N,42.202866,71.05264,71.0526409W,8.0 m,330542.576,4674340.23,19,T
1.61E+18,0,,42.2028849N,42.202884,71.052616,71.0526167W,8.2 m,330544.6223,4674342.192,19,T
1.61E+18,0,,42.2029031N,42.202903,71.052592,71.0525927W,8.5 m,330546.6524,4674344.165,19,T
1.61E+18,0,,42.2029218N,42.202921,71.052568,71.0525686W,8.7 m,330548.6921,4674346.194,19,T
1.61E+18,0,,42.20294N,42.20294N,71.052545,71.0525456W,8.9 m,330550.6396,4674348.169,19,T
1.61E+18,0,,42.202956N,42.202956,71.052525,71.0525258W,9.0 m,330552.317,4674349.906,19,T
1.61E+18,0,,42.2029679N,42.202967,71.05251,71.0525106W,9.1 m,330553.6037,4674351.197,19,T
1.61E+18,0,,42.2029778N,42.202977,71.052498,71.0524988W,9.2 m,330554.6044,4674352.273,19,T
1.61E+18,0,,42.2029866N,42.202986,71.052487,71.0524873W,9.4 m,330555.5773,4674353.228,19,T
1.61E+18,0,,42.2029953N,42.202995,71.052476,71.0524761W,9.3 m,330556.5253,4674354.171,19,T
1.61E+18,0,,42.2030068N,42.203006,71.052462,71.0524626W,9.3 m,330557.6706,4674355.421,19,T
1.61E+18,0,,42.2030214N,42.203021,71.052444,71.0524441W,9.3 m,330559.2369,4674357.006,19,T
1.61E+18,0,,42.2030389N,42.203038,71.052422,71.0524222W,9.4 m,330561.0918,4674358.906,19,T
1.61E+18,0,,42.203058N,42.203058,71.052397,71.0523974W,9.5 m,330563.1903,4674360.977,19,T
1.61E+18,0,,42.2030773N,42.203077,71.052372,71.0523723W,9.5 m,330565.3141,4674363.07,19,T
1.61E+18,0,,42.2030955N,42.203095,71.052347,71.0523473W,9.4 m,330567.4267,4674365.042,19,T
1.61E+18,0,,42.2031141N,42.203114,71.052323,71.0523232W,9.3 m,330569.4661,4674367.059,19,T
1.61E+18,0,,42.2031323N,42.203132,71.052299,71.0522995W,9.1 m,330571.4714,4674369.033,19,T
1.61E+18,0,,42.2031503N,42.20315,71.052276,71.0522766W,9.0 m,330573.4101,4674370.986,19,T
1.61E+18,0,,42.203167N,42.203167,71.052257,71.0522578W,9.0 m,330575.0069,4674372.803,19,T
1.61E+18,0,,42.2031808N,42.20318,71.052245,71.0522451W,9.0 m,330576.0923,4674374.31,19,T
1.61E+18,0,,42.2031914N,42.203191,71.052235,71.0522355W,9.3 m,330576.9132,4674375.468,19,T
1.61E+18,0,,42.2032008N,42.2032,71.052228,71.0522285W,9.5 m,330577.5162,4674376.498,19,T
1.61E+18,0,,42.2032096N,42.203209,71.052221,71.0522213W,9.5 m,330578.1341,4674377.461,19,T
1.61E+18,0,,42.2032198N,42.203219,71.052213,71.0522136W,9.6 m,330578.7971,4674378.578,19,T
1.61E+18,0,,42.2032308N,42.20323,71.052204,71.0522042W,9.6 m,330579.6026,4674379.781,19,T
1.61E+18,0,,42.2032415N,42.203241,71.052194,71.0521941W,9.6 m,330580.465,4674380.949,19,T
1.61E+18,0,,42.2032496N,42.203249,71.052184,71.0521844W,9.6 m,330581.2875,4674381.829,19,T
1.61E+18,0,,42.2032554N,42.203255,71.052177,71.0521771W,9.6 m,330581.9057,4674382.459,19,T
