%time,field.header.stamp,field.header.frame_id,field.latitude,,,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1.61E+18,0,,42.2041508N,42.20415,71.052142,71.0521422W,14.2 m,330587.1802,4674481.814,19,T
1.61E+18,0,,42.2041307N,42.20413,71.052134,71.0521346W,14.5 m,330587.7539,4674479.567,19,T
1.61E+18,0,,42.2041052N,42.204105,71.052119,71.0521196W,14.8 m,330588.9241,4674476.706,19,T
1.61E+18,0,,42.2040832N,42.204083,71.052106,71.0521066W,15.8 m,330589.9386,4674474.237,19,T
1.61E+18,0,,42.2040626N,42.204062,71.052089,71.0520892W,16.2 m,330591.32,4674471.915,19,T
1.61E+18,0,,42.2040385N,42.204038,71.052066,71.0520665W,16.1 m,330593.1297,4674469.194,19,T
1.61E+18,0,,42.2040218N,42.204021,71.052045,71.0520453W,17.2 m,330594.8353,4674467.298,19,T
1.61E+18,0,,42.2039858N,42.203985,71.052032,71.0520324W,15.9 m,330595.804,4674463.275,19,T
1.61E+18,0,,42.2039448N,42.203944,71.052019,71.052019W,14.8 m,330596.8007,4674458.695,19,T
1.61E+18,0,,42.203923N,42.203923,71.052025,71.0520254W,14.6 m,330596.2141,4674456.287,19,T
1.61E+18,0,,42.2039053N,42.203905,71.052025,71.0520252W,14.8 m,330596.1833,4674454.322,19,T
1.61E+18,0,,42.2038831N,42.203883,71.052019,71.052019W,14.9 m,330596.6358,4674451.844,19,T
1.61E+18,0,,42.2038546N,42.203854,71.051998,71.0519986W,16.1 m,330598.2438,4674448.639,19,T
1.61E+18,0,,42.2038364N,42.203836,71.051985,71.051985W,17.1 m,330599.318,4674446.591,19,T
1.61E+18,0,,42.2038115N,42.203811,71.051969,71.0519691W,17.6 m,330600.5641,4674443.794,19,T
1.61E+18,0,,42.2037847N,42.203784,71.051947,71.0519472W,17.6 m,330602.3005,4674440.775,19,T
1.61E+18,0,,42.2037576N,42.203757,71.051927,71.0519272W,18.0 m,330603.8792,4674437.726,19,T
1.61E+18,0,,42.2037307N,42.20373,71.051906,71.0519065W,18.0 m,330605.5163,4674434.698,19,T
1.61E+18,0,,42.203707N,42.203707,71.05189,71.0518905W,18.5 m,330606.7739,4674432.035,19,T
1.61E+18,0,,42.2036848N,42.203684,71.051875,71.0518752W,18.5 m,330607.9777,4674429.539,19,T
1.61E+18,0,,42.2036647N,42.203664,71.05186,71.0518604W,17.9 m,330609.1459,4674427.278,19,T
1.61E+18,0,,42.2036424N,42.203642,71.051846,71.0518466W,16.6 m,330610.2256,4674424.774,19,T
1.61E+18,0,,42.2036242N,42.203624,71.051835,71.051835W,15.6 m,330611.1346,4674422.73,19,T
1.61E+18,0,,42.2036123N,42.203612,71.051823,71.0518233W,15.7 m,330612.0687,4674421.386,19,T
1.61E+18,0,,42.2036028N,42.203602,71.051811,71.0518118W,15.1 m,330612.9928,4674420.308,19,T
1.61E+18,0,,42.2035972N,42.203597,71.051796,71.051796W,13.6 m,330614.2822,4674419.655,19,T
1.61E+18,0,,42.2035949N,42.203594,71.051772,71.0517727W,12.8 m,330616.1997,4674419.353,19,T
1.61E+18,0,,42.2036052N,42.203605,71.051746,71.0517468W,12.5 m,330618.3655,4674420.445,19,T
1.61E+18,0,,42.2036251N,42.203625,71.051722,71.0517225W,12.4 m,330620.4248,4674422.607,19,T
1.61E+18,0,,42.2036479N,42.203647,71.051697,71.0516978W,12.2 m,330622.5249,4674425.089,19,T
1.61E+18,0,,42.2036724N,42.203672,71.051669,71.0516699W,12.1 m,330624.8938,4674427.754,19,T
1.61E+18,0,,42.2036961N,42.203696,71.05164,71.0516402W,12.1 m,330627.4091,4674430.327,19,T
1.61E+18,0,,42.2037189N,42.203718,71.05161,71.0516103W,12.0 m,330629.9385,4674432.799,19,T
1.61E+18,0,,42.2037429N,42.203742,71.05158,71.0515802W,11.9 m,330632.4876,4674435.404,19,T
1.61E+18,0,,42.203767N,42.203767,71.05155,71.0515501W,12.0 m,330635.037,4674438.021,19,T
1.61E+18,0,,42.2037917N,42.203791,71.05152W,71.05152W,11.8 m,330637.588,4674440.704,19,T
1.61E+18,0,,42.2038158N,42.203815,71.051489,71.0514895W,11.6 m,330640.1705,4674443.319,19,T
1.61E+18,0,,42.20384N,42.20384N,71.051459,71.0514599W,11.3 m,330642.6788,4674445.947,19,T
1.61E+18,0,,42.2038643N,42.203864,71.051432,71.0514329W,11.1 m,330644.9728,4674448.592,19,T
1.61E+18,0,,42.2038871N,42.203887,71.051407,71.0514071W,10.9 m,330647.1637,4674451.073,19,T
1.61E+18,0,,42.2039082N,42.203908,71.051381,71.0513819W,10.7 m,330649.3006,4674453.365,19,T
1.61E+18,0,,42.2039302N,42.20393,71.051358,71.0513589W,10.7 m,330651.2582,4674455.763,19,T
1.61E+18,0,,42.2039524N,42.203952,71.051335,71.0513355W,10.7 m,330653.2494,4674458.181,19,T
1.61E+18,0,,42.2039748N,42.203974,71.051312,71.0513124W,10.8 m,330655.2163,4674460.623,19,T
1.61E+18,0,,42.2039971N,42.203997,71.051287,71.0512879W,11.1 m,330657.2985,4674463.05,19,T
1.61E+18,0,,42.2040203N,42.20402,71.051263,71.0512633W,11.1 m,330659.3914,4674465.577,19,T
1.61E+18,0,,42.2040439N,42.204043,71.051239,71.0512391W,11.2 m,330661.4524,4674468.15,19,T
1.61E+18,0,,42.2040675N,42.204067,71.051214,71.0512149W,11.2 m,330663.5133,4674470.722,19,T
1.61E+18,0,,42.2040907N,42.20409,71.051189,71.0511896W,11.1 m,330665.664,4674473.248,19,T
1.61E+18,0,,42.2041122N,42.204112,71.051162,71.051162W,10.9 m,330668.0001,4674475.581,19,T
1.61E+18,0,,42.2041327N,42.204132,71.051133,71.051133W,10.7 m,330670.449,4674477.799,19,T
1.61E+18,0,,42.2041505N,42.20415,71.051101,71.0511012W,10.8 m,330673.1219,4674479.713,19,T
1.61E+18,0,,42.2041669N,42.204166,71.051068,71.0510685W,10.8 m,330675.8653,4674481.469,19,T
1.61E+18,0,,42.2041836N,42.204183,71.051036,71.0510366W,10.9 m,330678.5435,4674483.26,19,T
1.61E+18,0,,42.2042021N,42.204202,71.051008,71.0510085W,11.0 m,330680.9128,4674485.258,19,T
1.61E+18,0,,42.2042239N,42.204223,71.050989,71.0509896W,11.1 m,330682.5314,4674487.641,19,T
1.61E+18,0,,42.2042463N,42.204246,71.050982,71.0509825W,11.1 m,330683.1774,4674490.115,19,T
1.61E+18,0,,42.2042672N,42.204267,71.050989,71.0509898W,11.0 m,330682.6306,4674492.45,19,T
1.61E+18,0,,42.2042838N,42.204283,71.051008,71.051008W,11.1 m,330681.1724,4674494.329,19,T
1.61E+18,0,,42.2043017N,42.204301,71.051032,71.051032W,11.0 m,330679.2388,4674496.365,19,T
1.61E+18,0,,42.2043217N,42.204321,71.051059,71.0510595W,10.9 m,330677.0219,4674498.64,19,T
1.61E+18,0,,42.2043425N,42.204342,71.051088,71.0510886W,11.0 m,330674.675,4674501.007,19,T
1.61E+18,0,,42.2043631N,42.204363,71.051118,71.0511186W,11.0 m,330672.2534,4674503.354,19,T
1.61E+18,0,,42.2043847N,42.204384,71.05115,71.0511501W,11.0 m,330669.7105,4674505.815,19,T
1.61E+18,0,,42.2044055N,42.204405,71.05118W,71.05118W,10.9 m,330667.2976,4674508.184,19,T
1.61E+18,0,,42.2044258N,42.204425,71.051208,71.0512087W,10.8 m,330664.9824,4674510.496,19,T
1.61E+18,0,,42.2044459N,42.204445,71.051236,71.0512368W,10.8 m,330662.7163,4674512.783,19,T
1.61E+18,0,,42.2044652N,42.204465,71.051265,71.0512652W,10.7 m,330660.4232,4674514.983,19,T
1.61E+18,0,,42.2044804N,42.20448,71.051287,71.0512872W,10.6 m,330658.6476,4674516.714,19,T
1.61E+18,0,,42.2044899N,42.204489,71.0513,71.0513007W,10.5 m,330657.5584,4674517.796,19,T
1.61E+18,0,,42.2044947N,42.204494,71.051307,71.0513073W,10.4 m,330657.0264,4674518.342,19,T
1.61E+18,0,,42.2044976N,42.204497,71.051309,71.0513098W,10.3 m,330656.8277,4674518.669,19,T
1.61E+18,0,,42.2044985N,42.204498,71.051311,71.0513111W,10.2 m,330656.7228,4674518.772,19,T
1.61E+18,0,,42.2044994N,42.204499,71.051311,71.0513113W,10.2 m,330656.7087,4674518.872,19,T
1.61E+18,0,,42.2045002N,42.2045,71.051311,71.0513117W,10.1 m,330656.6778,4674518.962,19,T
1.61E+18,0,,42.2045015N,42.204501,71.051312,71.051312W,10.0 m,330656.6565,4674519.107,19,T
1.61E+18,0,,42.2045019N,42.204501,71.051311,71.0513113W,9.9 m,330656.7154,4674519.15,19,T
1.61E+18,0,,42.2045028N,42.204502,71.051312,71.0513126W,9.9 m,330656.6105,4674519.252,19,T
1.61E+18,0,,42.204506N,42.204506,71.051316,71.0513165W,9.9 m,330656.2971,4674519.615,19,T
1.61E+18,0,,42.2045129N,42.204512,71.051324,71.0513247W,10.0 m,330655.6385,4674520.398,19,T
1.61E+18,0,,42.204525N,42.204525,71.051338,71.0513388W,10.1 m,330654.5068,4674521.769,19,T
1.61E+18,0,,42.2045382N,42.204538,71.051356,71.0513562W,10.1 m,330653.1056,4674523.269,19,T
1.61E+18,0,,42.2045525N,42.204552,71.051376,71.0513766W,10.0 m,330651.4596,4674524.898,19,T
1.61E+18,0,,42.2045697N,42.204569,71.051403,71.0514032W,9.7 m,330649.3095,4674526.861,19,T
1.61E+18,0,,42.20459N,42.20459N,71.051433,71.0514337W,9.7 m,330646.8458,4674529.175,19,T
1.61E+18,0,,42.2046109N,42.20461,71.051464,71.0514649W,9.8 m,330644.3259,4674531.558,19,T
1.61E+18,0,,42.2046347N,42.204634,71.051498,71.0514982W,10.0 m,330641.6403,4674534.267,19,T
1.61E+18,0,,42.2046591N,42.204659,71.051533,71.0515331W,10.2 m,330638.8243,4674537.046,19,T
1.61E+18,0,,42.2046828N,42.204682,71.051568,71.0515686W,10.6 m,330635.9568,4674539.748,19,T
1.61E+18,0,,42.2047053N,42.204705,71.051602,71.0516025W,10.7 m,330633.2183,4674542.314,19,T
1.61E+18,0,,42.2047268N,42.204726,71.051634,71.0516341W,10.8 m,330630.6669,4674544.764,19,T
1.61E+18,0,,42.2047472N,42.204747,71.051664,71.0516643W,10.5 m,330628.2282,4674547.089,19,T
1.61E+18,0,,42.2047671N,42.204767,71.051693,71.0516933W,10.7 m,330625.8872,4674549.356,19,T
1.61E+18,0,,42.204784N,42.204784,71.051717,71.0517176W,10.9 m,330623.9263,4674551.281,19,T
1.61E+18,0,,42.2047981N,42.204798,71.051736,71.0517363W,11.2 m,330622.4201,4674552.884,19,T
1.61E+18,0,,42.2048074N,42.204807,71.05175,71.0517503W,11.1 m,330621.2892,4674553.944,19,T
1.61E+18,0,,42.2048132N,42.204813,71.051761,71.051761W,11.2 m,330620.4213,4674554.61,19,T
1.61E+18,0,,42.2048179N,42.204817,71.051767,71.051767W,11.4 m,330619.9386,4674555.143,19,T
1.61E+18,0,,42.2048201N,42.20482,71.051771,71.0517712W,11.6 m,330619.5977,4674555.396,19,T
1.61E+18,0,,42.2048201N,42.20482,71.051773,71.0517731W,11.5 m,330619.4408,4674555.4,19,T
1.61E+18,0,,42.2048179N,42.204817,71.051774,71.0517746W,11.0 m,330619.3111,4674555.159,19,T
1.61E+18,0,,42.2048166N,42.204816,71.051775,71.0517752W,10.7 m,330619.2581,4674555.015,19,T
1.61E+18,0,,42.2048163N,42.204816,71.051775,71.0517752W,10.7 m,330619.2573,4674554.982,19,T
1.61E+18,0,,42.2048157N,42.204815,71.051775,71.0517751W,10.6 m,330619.264,4674554.915,19,T
1.61E+18,0,,42.2048153N,42.204815,71.051775,71.0517752W,10.5 m,330619.2547,4674554.871,19,T
1.61E+18,0,,42.2048151N,42.204815,71.051775,71.0517752W,10.4 m,330619.2541,4674554.849,19,T
1.61E+18,0,,42.2048148N,42.204814,71.051775,71.0517754W,10.4 m,330619.2368,4674554.816,19,T
1.61E+18,0,,42.2048144N,42.204814,71.051776,71.051776W,10.3 m,330619.1862,4674554.773,19,T
1.61E+18,0,,42.2048142N,42.204814,71.051776,71.051776W,10.2 m,330619.1857,4674554.751,19,T
1.61E+18,0,,42.204814N,42.204814,71.051776,71.0517761W,10.1 m,330619.1769,4674554.728,19,T
1.61E+18,0,,42.2048138N,42.204813,71.051776,71.0517761W,10.0 m,330619.1763,4674554.706,19,T
1.61E+18,0,,42.2048141N,42.204814,71.051775,71.0517759W,10.0 m,330619.1937,4674554.739,19,T
1.61E+18,0,,42.2048144N,42.204814,71.051775,71.0517758W,10.0 m,330619.2027,4674554.772,19,T
1.61E+18,0,,42.2048151N,42.204815,71.051775,71.0517758W,10.0 m,330619.2046,4674554.85,19,T
1.61E+18,0,,42.2048153N,42.204815,71.051775,71.0517755W,10.0 m,330619.2299,4674554.872,19,T
1.61E+18,0,,42.2048157N,42.204815,71.051775,71.0517758W,10.0 m,330619.2062,4674554.917,19,T
1.61E+18,0,,42.2048157N,42.204815,71.051776,71.0517761W,10.0 m,330619.1814,4674554.917,19,T
1.61E+18,0,,42.2048157N,42.204815,71.051775,71.0517758W,9.9 m,330619.2062,4674554.917,19,T
1.61E+18,0,,42.2048158N,42.204815,71.051776,71.0517763W,10.0 m,330619.1652,4674554.929,19,T
1.61E+18,0,,42.2048157N,42.204815,71.051776,71.0517761W,9.9 m,330619.1814,4674554.917,19,T
1.61E+18,0,,42.2048159N,42.204815,71.051776,71.0517765W,9.9 m,330619.1489,4674554.94,19,T
1.61E+18,0,,42.2048163N,42.204816,71.051776,71.0517769W,10.0 m,330619.117,4674554.985,19,T
1.61E+18,0,,42.2048166N,42.204816,71.051777,71.0517771W,10.0 m,330619.1013,4674555.019,19,T
1.61E+18,0,,42.2048166N,42.204816,71.051777,71.0517775W,10.0 m,330619.0682,4674555.02,19,T
1.61E+18,0,,42.2048171N,42.204817,71.051778,71.0517784W,10.2 m,330618.9953,4674555.077,19,T
1.61E+18,0,,42.2048177N,42.204817,71.051779,71.0517798W,10.5 m,330618.8813,4674555.147,19,T
1.61E+18,0,,42.2048194N,42.204819,71.051781,71.0517819W,10.6 m,330618.7125,4674555.34,19,T
1.61E+18,0,,42.2048243N,42.204824,71.051789,71.0517899W,10.7 m,330618.0651,4674555.9,19,T
1.61E+18,0,,42.2048346N,42.204834,71.051804,71.0518043W,10.8 m,330616.9038,4674557.072,19,T
1.61E+18,0,,42.2048492N,42.204849,71.051819,71.0518197W,11.0 m,330615.6715,4674558.724,19,T
1.61E+18,0,,42.2048673N,42.204867,71.051829,71.051829W,11.0 m,330614.9521,4674560.752,19,T
1.61E+18,0,,42.2048895N,42.204889,71.051828,71.0518282W,10.9 m,330615.0774,4674563.216,19,T
1.61E+18,0,,42.2049141N,42.204914,71.051817,71.0518172W,11.1 m,330616.0513,4674565.925,19,T
1.61E+18,0,,42.20494N,42.20494N,71.051795,71.0517957W,11.2 m,330617.8955,4674568.758,19,T
1.61E+18,0,,42.2049692N,42.204969,71.051766,71.0517665W,11.2 m,330620.3842,4674571.943,19,T
1.61E+18,0,,42.2049991N,42.204999,71.051733,71.0517336W,11.2 m,330623.1802,4674575.198,19,T
1.61E+18,0,,42.2050347N,42.205034,71.051693,71.0516935W,11.3 m,330626.5858,4674579.071,19,T
1.61E+18,0,,42.2050767N,42.205076,71.051644,71.0516443W,11.3 m,330630.7599,4674583.637,19,T
1.61E+18,0,,42.2051243N,42.205124,71.051587,71.0515879W,11.2 m,330635.5432,4674588.81,19,T
1.61E+18,0,,42.2051736N,42.205173,71.051527,71.0515275W,10.7 m,330640.6614,4674594.165,19,T
1.61E+18,0,,42.2052245N,42.205224,71.051465,71.0514654W,10.1 m,330645.9241,4674599.693,19,T
1.61E+18,0,,42.2052785N,42.205278,71.051402,71.0514024W,9.5 m,330651.2695,4674605.564,19,T
1.61E+18,0,,42.2053341N,42.205334,71.051337,71.0513378W,9.0 m,330656.7511,4674611.61,19,T
1.61E+18,0,,42.2053918N,42.205391,71.051268,71.0512689W,8.3 m,330662.5934,4674617.88,19,T
1.61E+18,0,,42.205452N,42.205452,71.051196,71.0511964W,7.5 m,330668.7396,4674624.42,19,T
1.61E+18,0,,42.2055145N,42.205514,71.051121,71.0511219W,6.8 m,330675.0569,4674631.212,19,T
1.61E+18,0,,42.2055776N,42.205577,71.051047,71.0510471W,5.9 m,330681.4007,4674638.07,19,T
1.61E+18,0,,42.2056423N,42.205642,71.050967,71.0509673W,4.9 m,330688.1615,4674645.096,19,T
1.61E+18,0,,42.2057011N,42.205701,71.050885,71.0508858W,3.8 m,330695.0468,4674651.463,19,T
1.61E+18,0,,42.2057661N,42.205766,71.050796,71.0507968W,1.6 m,330702.5679,4674658.504,19,T
1.61E+18,0,,42.2058206N,42.20582,71.050722,71.0507227W,5.1 m,330708.8309,4674664.409,19,T
1.61E+18,0,,42.2058823N,42.205882,71.050654,71.0506541W,6.4 m,330714.659,4674671.124,19,T
1.61E+18,0,,42.2059438N,42.205943,71.050584,71.0505848W,7.3 m,330720.5443,4674677.815,19,T
1.61E+18,0,,42.2060026N,42.206002,71.050519,71.0505196W,8.3 m,330726.084,4674684.215,19,T
1.61E+18,0,,42.2060561N,42.206056,71.050456,71.0504561W,8.8 m,330731.4691,4674690.029,19,T
1.61E+18,0,,42.2061082N,42.206108,71.050394,71.0503948W,9.4 m,330736.6689,4674695.693,19,T
1.61E+18,0,,42.2061566N,42.206156,71.050333,71.0503334W,9.9 m,330741.867,4674700.945,19,T
1.61E+18,0,,42.2062042N,42.206204,71.050275,71.0502751W,10.0 m,330746.8071,4674706.115,19,T
1.61E+18,0,,42.2062506N,42.20625,71.050221,71.0502216W,10.1 m,330751.3477,4674711.161,19,T
1.61E+18,0,,42.2062925N,42.206292,71.050174,71.0501744W,10.0 m,330755.3562,4674715.72,19,T
1.61E+18,0,,42.2063273N,42.206327,71.050131,71.0501313W,10.1 m,330759.0072,4674719.498,19,T
1.61E+18,0,,42.20636N,42.20636N,71.050092,71.0500925W,10.0 m,330762.2976,4674723.052,19,T
1.61E+18,0,,42.2063892N,42.206389,71.050055,71.0500556W,10.1 m,330765.4219,4674726.222,19,T
1.61E+18,0,,42.206415N,42.206415,71.050024,71.0500246W,10.1 m,330768.05,4674729.025,19,T
1.61E+18,0,,42.2064346N,42.206434,71.049999,71.0499994W,10.1 m,330770.1827,4674731.151,19,T
1.61E+18,0,,42.2064492N,42.206449,71.049979,71.0499799W,10.1 m,330771.8315,4674732.734,19,T
1.61E+18,0,,42.2064608N,42.20646,71.049964,71.0499643W,10.2 m,330773.1503,4674733.991,19,T
1.61E+18,0,,42.2064699N,42.206469,71.049951,71.0499515W,10.2 m,330774.2313,4674734.976,19,T
1.61E+18,0,,42.2064776N,42.206477,71.049942,71.0499422W,10.1 m,330775.0196,4674735.812,19,T
1.61E+18,0,,42.2064828N,42.206482,71.049935,71.0499354W,10.1 m,330775.5949,4674736.376,19,T
1.61E+18,0,,42.2064857N,42.206485,71.04993,71.0499305W,10.2 m,330776.0071,4674736.689,19,T
1.61E+18,0,,42.2064875N,42.206487,71.049927,71.0499275W,10.3 m,330776.2596,4674736.882,19,T
1.61E+18,0,,42.2064887N,42.206488,71.049926,71.0499266W,10.4 m,330776.3371,4674737.014,19,T
1.61E+18,0,,42.2064891N,42.206489,71.049926,71.049926W,10.4 m,330776.3877,4674737.057,19,T
1.61E+18,0,,42.20649N,42.20649N,71.049925,71.0499259W,10.6 m,330776.3984,4674737.157,19,T
1.61E+18,0,,42.2064909N,42.20649,71.049926,71.0499266W,10.7 m,330776.343,4674737.258,19,T
1.61E+18,0,,42.2064917N,42.206491,71.049927,71.0499276W,10.7 m,330776.2626,4674737.349,19,T
1.61E+18,0,,42.2064923N,42.206492,71.049928,71.0499286W,10.6 m,330776.1816,4674737.418,19,T
1.61E+18,0,,42.206493N,42.206493,71.049929,71.0499293W,10.5 m,330776.1257,4674737.497,19,T
1.61E+18,0,,42.2064935N,42.206493,71.049929,71.0499295W,10.3 m,330776.1105,4674737.553,19,T
1.61E+18,0,,42.2064952N,42.206495,71.049927,71.0499272W,10.0 m,330776.3049,4674737.737,19,T
1.61E+18,0,,42.2065012N,42.206501,71.049918,71.0499182W,9.9 m,330777.0639,4674738.385,19,T
1.61E+18,0,,42.2065124N,42.206512,71.049902,71.0499022W,9.9 m,330778.4147,4674739.597,19,T
1.61E+18,0,,42.2065263N,42.206526,71.049882,71.049882W,9.8 m,330780.1194,4674741.1,19,T
1.61E+18,0,,42.2065444N,42.206544,71.049858,71.0498587W,9.8 m,330782.0913,4674743.064,19,T
1.61E+18,0,,42.2065657N,42.206565,71.049832,71.0498328W,9.7 m,330784.2863,4674745.378,19,T
1.61E+18,0,,42.2065872N,42.206587,71.049804,71.0498041W,9.6 m,330786.713,4674747.708,19,T
1.61E+18,0,,42.2066115N,42.206611,71.049771,71.0497718W,9.7 m,330789.4444,4674750.342,19,T
1.61E+18,0,,42.2066372N,42.206637,71.049738,71.0497385W,9.7 m,330792.2621,4674753.13,19,T
1.61E+18,0,,42.2066648N,42.206664,71.049702,71.0497028W,9.6 m,330795.283,4674756.124,19,T
1.61E+18,0,,42.2066952N,42.206695,71.049663,71.0496639W,9.6 m,330798.5755,4674759.422,19,T
1.61E+18,0,,42.2067275N,42.206727,71.049622,71.0496224W,9.5 m,330802.0877,4674762.926,19,T
1.61E+18,0,,42.2067599N,42.206759,71.04958,71.0495804W,9.5 m,330805.6415,4674766.441,19,T
1.61E+18,0,,42.206791N,42.206791,71.049541,71.049541W,9.5 m,330808.9772,4674769.816,19,T
1.61E+18,0,,42.2068221N,42.206822,71.049505,71.0495053W,9.5 m,330812.0074,4674773.198,19,T
1.61E+18,0,,42.2068539N,42.206853,71.049471,71.0494719W,9.5 m,330814.8496,4674776.663,19,T
1.61E+18,0,,42.2068865N,42.206886,71.049439,71.0494395W,9.6 m,330817.6114,4674780.219,19,T
1.61E+18,0,,42.2069198N,42.206919,71.049406,71.0494061W,9.6 m,330820.4576,4674783.85,19,T
1.61E+18,0,,42.2069588N,42.206958,71.049377,71.0493777W,9.7 m,330822.9062,4674788.124,19,T
1.61E+18,0,,42.2070155N,42.207015,71.049373,71.0493731W,10.0 m,330823.4373,4674794.411,19,T
1.61E+18,0,,42.2070574N,42.207057,71.04935,71.0493502W,10.1 m,330825.4396,4674799.018,19,T
1.61E+18,0,,42.2070992N,42.207099,71.04933,71.0493304W,10.2 m,330827.1858,4674803.62,19,T
1.61E+18,0,,42.2071058N,42.207105,71.049272,71.0492724W,9.8 m,330831.9915,4674804.238,19,T
1.61E+18,0,,42.207119N,42.207119,71.049233,71.0492336W,9.6 m,330835.2298,4674805.627,19,T
1.61E+18,0,,42.2071308N,42.20713,71.049203,71.0492036W,9.5 m,330837.7379,4674806.878,19,T
1.61E+18,0,,42.2071439N,42.207143,71.049185,71.0491858W,9.4 m,330839.2424,4674808.297,19,T
1.61E+18,0,,42.207149N,42.207149,71.049166,71.0491662W,9.3 m,330840.874,4674808.824,19,T
1.61E+18,0,,42.2071523N,42.207152,71.049153,71.0491538W,9.3 m,330841.9065,4674809.166,19,T
1.61E+18,0,,42.2071498N,42.207149,71.049143,71.0491435W,9.4 m,330842.7501,4674808.868,19,T
1.61E+18,0,,42.2071485N,42.207148,71.04914,71.0491403W,9.8 m,330843.0108,4674808.717,19,T
1.61E+18,0,,42.2071475N,42.207147,71.049139,71.0491391W,9.9 m,330843.1072,4674808.604,19,T
1.61E+18,0,,42.2071464N,42.207146,71.049137,71.0491378W,9.8 m,330843.2116,4674808.479,19,T
1.61E+18,0,,42.2071453N,42.207145,71.049136,71.049136W,9.7 m,330843.3573,4674808.354,19,T
1.61E+18,0,,42.2071445N,42.207144,71.049134,71.0491344W,9.7 m,330843.4872,4674808.262,19,T
1.61E+18,0,,42.2071437N,42.207143,71.049133,71.049133W,9.7 m,330843.6007,4674808.17,19,T
1.61E+18,0,,42.2071428N,42.207142,71.049131,71.0491314W,9.7 m,330843.7303,4674808.067,19,T
1.61E+18,0,,42.2071422N,42.207142,71.04913W,71.04913W,9.7 m,330843.8443,4674807.997,19,T
1.61E+18,0,,42.2071416N,42.207141,71.049128,71.0491288W,9.7 m,330843.9418,4674807.928,19,T
1.61E+18,0,,42.2071415N,42.207141,71.049128,71.049128W,9.7 m,330844.0076,4674807.916,19,T
1.61E+18,0,,42.2071409N,42.20714,71.049126,71.0491268W,9.7 m,330844.105,4674807.847,19,T
1.61E+18,0,,42.2071399N,42.207139,71.049125,71.0491255W,9.6 m,330844.2097,4674807.733,19,T
1.61E+18,0,,42.207139N,42.207139,71.049124,71.0491241W,9.6 m,330844.3228,4674807.63,19,T
1.61E+18,0,,42.2071385N,42.207138,71.049123,71.049123W,9.6 m,330844.4123,4674807.573,19,T
1.61E+18,0,,42.2071379N,42.207137,71.049121,71.0491219W,9.6 m,330844.5015,4674807.504,19,T
1.61E+18,0,,42.2071373N,42.207137,71.04912,71.0491206W,9.7 m,330844.6072,4674807.435,19,T
1.61E+18,0,,42.2071374N,42.207137,71.04912,71.0491202W,9.8 m,330844.6405,4674807.445,19,T
1.61E+18,0,,42.2071369N,42.207136,71.049119,71.0491195W,9.8 m,330844.697,4674807.388,19,T
1.61E+18,0,,42.207136N,42.207136,71.049118,71.0491184W,9.9 m,330844.7854,4674807.286,19,T
1.61E+18,0,,42.2071345N,42.207134,71.049117,71.0491171W,9.9 m,330844.8887,4674807.117,19,T
1.61E+18,0,,42.2071332N,42.207133,71.049115,71.0491159W,9.9 m,330844.9843,4674806.97,19,T
1.61E+18,0,,42.2071324N,42.207132,71.049115,71.049115W,9.9 m,330845.0565,4674806.879,19,T
1.61E+18,0,,42.207132N,42.207132,71.049114,71.0491149W,9.9 m,330845.0637,4674806.835,19,T
1.61E+18,0,,42.2071317N,42.207131,71.049114,71.0491147W,9.9 m,330845.0794,4674806.801,19,T
1.61E+18,0,,42.2071312N,42.207131,71.049114,71.0491146W,9.9 m,330845.0863,4674806.745,19,T
1.61E+18,0,,42.2071303N,42.20713,71.049113,71.0491136W,10.0 m,330845.1664,4674806.644,19,T
1.61E+18,0,,42.2071297N,42.207129,71.049112,71.0491127W,10.0 m,330845.2391,4674806.575,19,T
1.61E+18,0,,42.2071294N,42.207129,71.049112,71.049112W,10.0 m,330845.2961,4674806.54,19,T
1.61E+18,0,,42.2071287N,42.207128,71.04911,71.0491105W,10.1 m,330845.4181,4674806.46,19,T
1.61E+18,0,,42.2071285N,42.207128,71.049109,71.0491098W,10.1 m,330845.4753,4674806.436,19,T
1.61E+18,0,,42.2071285N,42.207128,71.049109,71.0491094W,10.1 m,330845.5084,4674806.435,19,T
1.61E+18,0,,42.2071285N,42.207128,71.049109,71.0491092W,10.1 m,330845.5249,4674806.435,19,T
1.61E+18,0,,42.2071291N,42.207129,71.049109,71.0491093W,10.1 m,330845.5182,4674806.502,19,T
1.61E+18,0,,42.2071289N,42.207128,71.049108,71.0491082W,10.0 m,330845.6085,4674806.477,19,T
1.61E+18,0,,42.2071297N,42.207129,71.049108,71.0491084W,9.9 m,330845.5941,4674806.567,19,T
1.61E+18,0,,42.2071306N,42.20713,71.049108,71.0491088W,9.9 m,330845.5635,4674806.667,19,T
1.61E+18,0,,42.2071318N,42.207131,71.049109,71.0491095W,9.8 m,330845.5089,4674806.802,19,T
1.61E+18,0,,42.2071336N,42.207133,71.04911,71.0491109W,9.8 m,330845.3981,4674807.005,19,T
1.61E+18,0,,42.2071355N,42.207135,71.049112,71.0491125W,9.7 m,330845.2711,4674807.219,19,T
1.61E+18,0,,42.2071373N,42.207137,71.049113,71.0491138W,9.7 m,330845.1686,4674807.421,19,T
