%time,field.header.seq,field.header.stamp,field.header.frame_id,field.yaw,field.pitch,field.roll
1614992868393700778,73,1614992868392803907,imu,1.4174866053,0.0403345590136,-0.0316951792163
1614992868900674874,74,1614992868899477958,imu,1.41750405859,0.0403694655986,-0.0316951792162
1614992869407347007,75,1614992869406467914,imu,1.41746915201,0.0403694655987,-0.0317475390938
1614992869914223705,76,1614992869913249015,imu,1.41752151188,0.0403520123062,-0.0316428193387
1614992870421188690,77,1614992870420229911,imu,1.41746915201,0.0403694655987,-0.0316951792162
1614992870928171647,78,1614992870926950931,imu,1.41746915201,0.0403345590136,-0.0317300858012
1614992871434774946,79,1614992871433764934,imu,1.41753896518,0.0403345590136,-0.0316428193386
1614992871940419526,80,1614992871940047979,imu,1.4174866053,0.0403520123061,-0.0317475390937
1614992872447238643,81,1614992872446335077,imu,1.4174866053,0.0403345590136,-0.0317300858013
1614992872950802793,82,1614992872950265884,imu,1.41750405859,0.0403520123062,-0.0316777259238
1614992873455958364,83,1614992873455193042,imu,1.41743424542,0.0403694655986,-0.0317824456788
1614992873962601255,84,1614992873961740016,imu,1.41750405859,0.0403345590136,-0.0317126325088
1614992874469211044,85,1614992874468400001,imu,1.41752151188,0.0403694655987,-0.0316951792163
1614992874975927889,86,1614992874975044012,imu,1.41750405859,0.0403694655987,-0.0317475390938
1614992875480968574,87,1614992875480271100,imu,1.41755641847,0.0403520123061,-0.0316602726311
1614992875987713400,88,1614992875986828088,imu,1.41755641847,0.0403171057211,-0.0316951792162
1614992876493873302,89,1614992876493164062,imu,1.41755641847,0.0403345590135,-0.0317300858012
1614992877000500223,90,1614992876999670982,imu,1.41764368493,0.0403694655987,-0.0316602726312
1614992877507094930,91,1614992877506237030,imu,1.41760877835,0.040317105721,-0.0317475390938
1614992878013660828,92,1614992878012957096,imu,1.41760877835,0.0403345590136,-0.0317126325088
1614992878519758922,93,1614992878518981933,imu,1.41762623164,0.0403869188912,-0.0317126325088
1614992879026324037,94,1614992879025285005,imu,1.41759132505,0.0403345590135,-0.0317649923862
1614992879533011546,95,1614992879532069921,imu,1.41760877835,0.0403520123061,-0.0317126325087
1614992880037593907,96,1614992880036930084,imu,1.41762623164,0.0403869188912,-0.0316951792163
1614992880543980166,97,1614992880543440103,imu,1.41755641847,0.0403171057211,-0.0317824456789
1614992881050888034,98,1614992881050055980,imu,1.41766113823,0.0403345590136,-0.0316602726312
1614992881557728736,99,1614992881556583881,imu,1.41759132506,0.0403345590136,-0.0317998989713
1614992882064029657,100,1614992882063102006,imu,1.41759132505,0.0403345590135,-0.0317649923862
1614992882570600908,101,1614992882569758892,imu,1.41766113823,0.0403345590136,-0.0316951792162
1614992883077490196,102,1614992883076632976,imu,1.41764368493,0.0403345590136,-0.0317998989714
1614992883583792981,103,1614992883582830905,imu,1.41767859152,0.0403171057211,-0.0317300858012
1614992884089656332,104,1614992884088769912,imu,1.41769604481,0.0403171057211,-0.0317126325088
1614992884595116962,105,1614992884594372034,imu,1.41766113823,0.0403345590136,-0.0318522588489
1614992885100922714,106,1614992885099968910,imu,1.4177134981,0.0403520123061,-0.0317649923862
1614992885606457857,107,1614992885605555057,imu,1.4177134981,0.0403345590136,-0.0317998989714
1614992886112038329,108,1614992886111506938,imu,1.4177309514,0.0403694655985,-0.0317998989712
1614992886618076796,109,1614992886617106914,imu,1.41776585798,0.0403869188911,-0.0317300858012
1614992887123840236,110,1614992887122920036,imu,1.41769604481,0.0403345590136,-0.0318173522639
