%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1614786062646610923,52,0,,42.2022872N,71.0537415W,8.6 m,330450.1608630727,4674278.059841366,19,T
1614786063653825356,53,0,,42.2023056N,71.0537723W,8.5 m,330447.66723065125,4674280.164229891,19,T
1614786064653657782,54,0,,42.2023114N,71.0538105W,8.6 m,330444.52895148424,4674280.884234586,19,T
1614786065655027158,55,0,,42.2023039N,71.0538469W,8.7 m,330441.5037037941,4674280.1238305345,19,T
1614786066659926196,56,0,,42.2022854N,71.0538741W,8.7 m,330439.2085828276,4674278.123691228,19,T
1614786067650929455,57,0,,42.2022606N,71.0538876W,8.7 m,330438.0276812366,4674275.396753105,19,T
1614786068653047785,58,0,,42.2022344N,71.0538856W,8.8 m,330438.1227158953,4674272.483530895,19,T
1614786069655172109,59,0,,42.2022117N,71.0538682W,8.8 m,330439.49853987887,4674269.928318903,19,T
1614786070658667896,60,0,,42.2021971N,71.0538393W,8.7 m,330441.84547434904,4674268.249657889,19,T
1614786071656398000,61,0,,42.2021927N,71.0538046W,8.5 m,330444.69854322687,4674267.692068931,19,T
1614786072649357429,62,0,,42.2021994N,71.05377W,8.4 m,330447.573047507,4674268.36722246,19,T
1614786073650665368,63,0,,42.2022168N,71.0537424W,8.5 m,330449.89825066255,4674270.244425127,19,T
1614786074653698344,64,0,,42.2022416N,71.0537272W,8.6 m,330451.21950048546,4674272.967984197,19,T
1614786075650729957,65,0,,42.2022692N,71.0537294W,8.6 m,330451.1116931696,4674276.037059635,19,T
1614786076656092188,66,0,,42.2022935N,71.053749W,8.5 m,330449.55851407786,4674278.774308414,19,T
1614786077657753416,67,0,,42.2023082N,71.0537829W,8.4 m,330446.79904888564,4674280.47401504,19,T
1614786078687112040,68,0,,42.2023091N,71.0538233W,8.4 m,330443.46603062924,4674280.654300309,19,T
1614786079653082429,69,0,,42.2022947N,71.0538584W,8.5 m,330440.5296533493,4674279.125136093,19,T
1614786080655358427,70,0,,42.2022701N,71.0538801W,8.5 m,330438.6722946608,4674276.436714854,19,T
1614786081657541748,71,0,,42.2022415N,71.0538825W,8.5 m,330438.3976449431,4674273.265748241,19,T
1614786082656775233,72,0,,42.2022161N,71.0538661W,8.5 m,330439.68368620554,4674270.412717581,19,T
1614786083659698913,73,0,,42.2021994N,71.0538356W,8.6 m,330442.15709943394,4674268.497690713,19,T
1614786084660097858,74,0,,42.2021948N,71.0537987W,8.6 m,330445.19126566465,4674267.913518455,19,T
1614786085661770119,75,0,,42.202203N,71.0537637W,8.6 m,330448.1028061615,4674268.754436448,19,T
1614786086682660998,76,0,,42.2022212N,71.053738W,8.8 m,330450.2732846109,4674270.7242498575,19,T
1614786087654034933,77,0,,42.2022439N,71.0537241W,9.0 m,330451.4815889485,4674273.217210684,19,T
